TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
NEXT EXPERIMENT0,0.0,-0.1874,3.0,0.375,0.0025,0.5
1,0.0,-0.1874,3.0,0.375,0.0025,0.5
2,0.0,-0.1874,3.0,0.375,0.0025,0.5
3,0.0,-0.1874,3.0,0.375,0.0025,0.5
4,0.0,-0.1874,3.0,0.375,0.0025,0.5
5,0.0,-0.1874,3.0,0.375,0.0025,0.5
6,0.0,-0.1874,3.0,0.375,0.0025,0.5
7,0.0,-0.1874,3.0,0.375,0.0025,0.5
8,0.0,-0.1874,3.0,0.375,0.0025,0.5
9,0.0,-0.1874,3.0,0.375,0.0025,0.5
10,0.0,220.9055,3.0,0.375,0.0025,0.5
11,0.0,220.9055,3.0,0.375,0.0025,0.5
12,0.0,220.9055,3.0,0.375,0.0025,0.5
13,0.0,220.9055,3.0,0.375,0.0025,0.5
14,1.0,220.9055,3.0,0.375,0.0025,0.5
15,1.0,220.9055,3.0,0.375,0.0025,0.5
16,2.0,220.9055,3.0,0.375,0.0025,0.5
17,3.0,220.9055,3.0,0.375,0.0025,0.5
18,3.0,220.9055,3.0,0.375,0.0025,0.5
19,4.0,220.9055,3.0,0.375,0.0025,0.5
20,6.0,179.9421,3.0,0.375,0.0025,0.5
21,7.0,179.9421,3.0,0.375,0.0025,0.5
22,8.0,179.9421,3.0,0.375,0.0025,0.5
23,10.0,179.9421,3.0,0.375,0.0025,0.5
24,11.0,179.9421,3.0,0.375,0.0025,0.5
25,13.0,179.9421,3.0,0.375,0.0025,0.5
26,15.0,179.9421,3.0,0.375,0.0025,0.5
27,17.0,179.9421,3.0,0.375,0.0025,0.5
28,19.0,179.9421,3.0,0.375,0.0025,0.5
29,21.0,179.9421,3.0,0.375,0.0025,0.5
30,23.0,182.5511,3.0,0.375,0.0025,0.5
31,25.0,182.5511,3.0,0.375,0.0025,0.5
32,28.0,182.5511,3.0,0.375,0.0025,0.5
33,30.0,182.5511,3.0,0.375,0.0025,0.5
34,32.0,182.5511,3.0,0.375,0.0025,0.5
35,35.0,182.5511,3.0,0.375,0.0025,0.5
36,37.0,182.5511,3.0,0.375,0.0025,0.5
37,40.0,182.5511,3.0,0.375,0.0025,0.5
38,42.0,182.5511,3.0,0.375,0.0025,0.5
39,45.0,182.5511,3.0,0.375,0.0025,0.5
40,48.0,184.7885,3.0,0.375,0.0025,0.5
41,50.0,184.7885,3.0,0.375,0.0025,0.5
42,53.0,184.7885,3.0,0.375,0.0025,0.5
43,56.0,184.7885,3.0,0.375,0.0025,0.5
44,59.0,184.7885,3.0,0.375,0.0025,0.5
45,62.0,184.7885,3.0,0.375,0.0025,0.5
46,65.0,184.7885,3.0,0.375,0.0025,0.5
47,68.0,184.7885,3.0,0.375,0.0025,0.5
48,71.0,184.7885,3.0,0.375,0.0025,0.5
49,74.0,184.7885,3.0,0.375,0.0025,0.5
50,77.0,186.7324,3.0,0.375,0.0025,0.5
51,81.0,186.7324,3.0,0.375,0.0025,0.5
52,84.0,186.7324,3.0,0.375,0.0025,0.5
53,87.0,186.7324,3.0,0.375,0.0025,0.5
54,90.0,186.7324,3.0,0.375,0.0025,0.5
55,94.0,186.7324,3.0,0.375,0.0025,0.5
56,97.0,186.7324,3.0,0.375,0.0025,0.5
57,100.0,186.7324,3.0,0.375,0.0025,0.5
58,104.0,186.7324,3.0,0.375,0.0025,0.5
59,107.0,186.7324,3.0,0.375,0.0025,0.5
60,111.0,188.5977,3.0,0.375,0.0025,0.5
61,114.0,188.5977,3.0,0.375,0.0025,0.5
62,117.0,188.5977,3.0,0.375,0.0025,0.5
63,121.0,188.5977,3.0,0.375,0.0025,0.5
64,125.0,188.5977,3.0,0.375,0.0025,0.5
65,128.0,188.5977,3.0,0.375,0.0025,0.5
