TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
NEXT EXPERIMENT0,0.0,-0.9306,3.0,0.75,0.0025,1.0
1,-1.0,-0.9306,3.0,0.75,0.0025,1.0
2,-1.0,-0.9306,3.0,0.75,0.0025,1.0
3,-1.0,-0.9306,3.0,0.75,0.0025,1.0
4,-1.0,-0.9306,3.0,0.75,0.0025,1.0
5,-2.0,-0.9306,3.0,0.75,0.0025,1.0
6,-2.0,-0.9306,3.0,0.75,0.0025,1.0
7,-2.0,-0.9306,3.0,0.75,0.0025,1.0
8,-2.0,-0.9306,3.0,0.75,0.0025,1.0
9,-3.0,-0.9306,3.0,0.75,0.0025,1.0
10,-3.0,442.9401,3.0,0.75,0.0025,1.0
11,-3.0,442.9401,3.0,0.75,0.0025,1.0
12,-3.0,442.9401,3.0,0.75,0.0025,1.0
13,-3.0,442.9401,3.0,0.75,0.0025,1.0
14,-3.0,442.9401,3.0,0.75,0.0025,1.0
15,-2.0,442.9401,3.0,0.75,0.0025,1.0
16,-2.0,442.9401,3.0,0.75,0.0025,1.0
17,-1.0,442.9401,3.0,0.75,0.0025,1.0
18,0.0,442.9401,3.0,0.75,0.0025,1.0
19,1.0,442.9401,3.0,0.75,0.0025,1.0
20,2.0,356.7701,3.0,0.75,0.0025,1.0
21,3.0,356.7701,3.0,0.75,0.0025,1.0
22,4.0,356.7701,3.0,0.75,0.0025,1.0
23,5.0,356.7701,3.0,0.75,0.0025,1.0
24,7.0,356.7701,3.0,0.75,0.0025,1.0
25,8.0,356.7701,3.0,0.75,0.0025,1.0
26,10.0,356.7701,3.0,0.75,0.0025,1.0
27,12.0,356.7701,3.0,0.75,0.0025,1.0
28,13.0,356.7701,3.0,0.75,0.0025,1.0
29,15.0,356.7701,3.0,0.75,0.0025,1.0
30,17.0,358.5608,3.0,0.75,0.0025,1.0
31,19.0,358.5608,3.0,0.75,0.0025,1.0
32,22.0,358.5608,3.0,0.75,0.0025,1.0
33,24.0,358.5608,3.0,0.75,0.0025,1.0
34,26.0,358.5608,3.0,0.75,0.0025,1.0
35,28.0,358.5608,3.0,0.75,0.0025,1.0
36,31.0,358.5608,3.0,0.75,0.0025,1.0
37,33.0,358.5608,3.0,0.75,0.0025,1.0
38,36.0,358.5608,3.0,0.75,0.0025,1.0
39,38.0,358.5608,3.0,0.75,0.0025,1.0
40,41.0,359.625,3.0,0.75,0.0025,1.0
41,44.0,359.625,3.0,0.75,0.0025,1.0
42,46.0,359.625,3.0,0.75,0.0025,1.0
43,49.0,359.625,3.0,0.75,0.0025,1.0
44,52.0,359.625,3.0,0.75,0.0025,1.0
45,55.0,359.625,3.0,0.75,0.0025,1.0
46,58.0,359.625,3.0,0.75,0.0025,1.0
47,61.0,359.625,3.0,0.75,0.0025,1.0
48,64.0,359.625,3.0,0.75,0.0025,1.0
49,67.0,359.625,3.0,0.75,0.0025,1.0
50,70.0,360.2494,3.0,0.75,0.0025,1.0
51,73.0,360.2494,3.0,0.75,0.0025,1.0
52,76.0,360.2494,3.0,0.75,0.0025,1.0
53,80.0,360.2494,3.0,0.75,0.0025,1.0
54,83.0,360.2494,3.0,0.75,0.0025,1.0
55,86.0,360.2494,3.0,0.75,0.0025,1.0
56,89.0,360.2494,3.0,0.75,0.0025,1.0
57,93.0,360.2494,3.0,0.75,0.0025,1.0
58,96.0,360.2494,3.0,0.75,0.0025,1.0
59,99.0,360.2494,3.0,0.75,0.0025,1.0
