TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
0,4,19.4309,1,3.90625,0.01,0.0
1,8,19.4309,1,3.90625,0.01,0.0
2,13,19.4309,1,3.90625,0.01,0.0
3,17,19.4309,1,3.90625,0.01,0.0
4,22,19.4309,1,3.90625,0.01,0.0
5,26,19.4309,1,3.90625,0.01,0.0
6,30,19.4309,1,3.90625,0.01,0.0
7,35,19.4309,1,3.90625,0.01,0.0
8,39,19.4309,1,3.90625,0.01,0.0
9,44,19.4309,1,3.90625,0.01,0.0
10,48,3630.4214,1,3.90625,0.01,0.0
11,52,3630.4214,1,3.90625,0.01,0.0
12,57,3630.4214,1,3.90625,0.01,0.0
13,61,3630.4214,1,3.90625,0.01,0.0
14,66,3630.4214,1,3.90625,0.01,0.0
15,70,3630.4214,1,3.90625,0.01,0.0
16,74,3630.4214,1,3.90625,0.01,0.0
17,79,3630.4214,1,3.90625,0.01,0.0
18,83,3630.4214,1,3.90625,0.01,0.0
19,88,3630.4214,1,3.90625,0.01,0.0
20,92,1773.2819,1,3.90625,0.01,0.0
21,96,1773.2819,1,3.90625,0.01,0.0
22,101,1773.2819,1,3.90625,0.01,0.0
23,105,1773.2819,1,3.90625,0.01,0.0
24,110,1773.2819,1,3.90625,0.01,0.0
25,114,1773.2819,1,3.90625,0.01,0.0
26,119,1773.2819,1,3.90625,0.01,0.0
27,123,1773.2819,1,3.90625,0.01,0.0
28,127,1773.2819,1,3.90625,0.01,0.0
29,132,1773.2819,1,3.90625,0.01,0.0
30,136,1750.7836,1,3.90625,0.01,0.0
31,141,1750.7836,1,3.90625,0.01,0.0
32,145,1750.7836,1,3.90625,0.01,0.0
33,149,1750.7836,1,3.90625,0.01,0.0
34,154,1750.7836,1,3.90625,0.01,0.0
35,158,1750.7836,1,3.90625,0.01,0.0
36,163,1750.7836,1,3.90625,0.01,0.0
37,167,1750.7836,1,3.90625,0.01,0.0
38,171,1750.7836,1,3.90625,0.01,0.0
39,176,1750.7836,1,3.90625,0.01,0.0
40,180,1728.285,1,3.90625,0.01,0.0
41,185,1728.285,1,3.90625,0.01,0.0
42,189,1728.285,1,3.90625,0.01,0.0
43,193,1728.285,1,3.90625,0.01,0.0
44,199,1728.285,1,3.90625,0.01,0.0
45,203,1728.285,1,3.90625,0.01,0.0
46,208,1728.285,1,3.90625,0.01,0.0
47,212,1728.285,1,3.90625,0.01,0.0
48,217,1728.285,1,3.90625,0.01,0.0
49,221,1728.285,1,3.90625,0.01,0.0
50,225,1704.764,1,3.90625,0.01,0.0
51,230,1704.764,1,3.90625,0.01,0.0
52,234,1704.764,1,3.90625,0.01,0.0
53,239,1704.764,1,3.90625,0.01,0.0
54,243,1704.764,1,3.90625,0.01,0.0
55,247,1704.764,1,3.90625,0.01,0.0
56,252,1704.764,1,3.90625,0.01,0.0
57,256,1704.764,1,3.90625,0.01,0.0
58,261,1704.764,1,3.90625,0.01,0.0
59,265,1704.764,1,3.90625,0.01,0.0
60,269,1682.777,1,3.90625,0.01,0.0
61,274,1682.777,1,3.90625,0.01,0.0
62,278,1682.777,1,3.90625,0.01,0.0
63,283,1682.777,1,3.90625,0.01,0.0
64,287,1682.777,1,3.90625,0.01,0.0
65,292,1682.777,1,3.90625,0.01,0.0
66,296,1682.777,1,3.90625,0.01,0.0
67,300,1682.777,1,3.90625,0.01,0.0
68,305,1682.777,1,3.90625,0.01,0.0
69,309,1682.777,1,3.90625,0.01,0.0
70,314,1659.2559,1,3.90625,0.01,0.0
71,318,1659.2559,1,3.90625,0.01,0.0
72,322,1659.2559,1,3.90625,0.01,0.0
73,327,1659.2559,1,3.90625,0.01,0.0
74,331,1659.2559,1,3.90625,0.01,0.0
75,336,1659.2559,1,3.90625,0.01,0.0
76,340,1659.2559,1,3.90625,0.01,0.0
77,345,1659.2559,1,3.90625,0.01,0.0
78,349,1659.2559,1,3.90625,0.01,0.0
79,353,1659.2559,1,3.90625,0.01,0.0
80,358,1637.2688,1,3.90625,0.01,0.0
81,362,1637.2688,1,3.90625,0.01,0.0
82,367,1637.2688,1,3.90625,0.01,0.0
83,371,1637.2688,1,3.90625,0.01,0.0
84,375,1637.2688,1,3.90625,0.01,0.0
85,380,1637.2688,1,3.90625,0.01,0.0
86,384,1637.2688,1,3.90625,0.01,0.0
87,389,1637.2688,1,3.90625,0.01,0.0
88,393,1637.2688,1,3.90625,0.01,0.0
89,397,1637.2688,1,3.90625,0.01,0.0
90,402,1614.7705,1,3.90625,0.01,0.0
91,406,1614.7705,1,3.90625,0.01,0.0
92,411,1614.7705,1,3.90625,0.01,0.0
93,415,1614.7705,1,3.90625,0.01,0.0
94,419,1614.7705,1,3.90625,0.01,0.0
95,424,1614.7705,1,3.90625,0.01,0.0
96,428,1614.7705,1,3.90625,0.01,0.0
97,433,1614.7705,1,3.90625,0.01,0.0
98,437,1614.7705,1,3.90625,0.01,0.0
99,442,1614.7705,1,3.90625,0.01,0.0
100,446,1592.2721,1,3.90625,0.01,0.0
101,450,1592.2721,1,3.90625,0.01,0.0
102,455,1592.2721,1,3.90625,0.01,0.0
103,459,1592.2721,1,3.90625,0.01,0.0
104,464,1592.2721,1,3.90625,0.01,0.0
105,468,1592.2721,1,3.90625,0.01,0.0
106,472,1592.2721,1,3.90625,0.01,0.0
107,477,1592.2721,1,3.90625,0.01,0.0
108,481,1592.2721,1,3.90625,0.01,0.0
109,486,1592.2721,1,3.90625,0.01,0.0
110,490,1569.7738,1,3.90625,0.01,0.0
