Los experimentos presentes y sus nombres son
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0100, TauI = 1.0000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.01_1.0.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0100, TauI = 1.0000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.01_1.0.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 1.5000, TauD = 0.0050, TauI = 1.0000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_1.5_0.005_1.0.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0050, TauI = 1.0000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.005_1.0.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0050, TauI = 1.0000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.005_1.0.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 1.5000, TauD = 0.0025, TauI = 1.0000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_1.5_0.0025_1.0.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0025, TauI = 1.0000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.0025_1.0.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0025, TauI = 1.0000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.0025_1.0.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 1.5000, TauD = 0.0100, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_1.5_0.01_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0100, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.01_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0100, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.01_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 1.5000, TauD = 0.0050, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_1.5_0.005_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0050, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.005_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0050, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.005_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 1.5000, TauD = 0.0025, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_1.5_0.0025_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0025, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.0025_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0025, TauI = 0.5000, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.0025_0.5.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 1.5000, TauD = 0.0100, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_1.5_0.01_0.25.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0100, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.01_0.25.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0100, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.01_0.25.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 1.5000, TauD = 0.0050, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_1.5_0.005_0.25.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0050, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.005_0.25.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0050, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.005_0.25.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 1.5000, TauD = 0.0025, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_1.5_0.0025_0.25.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.7500, TauD = 0.0025, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.75_0.0025_0.25.txt
FinalRad = 6.2800, Controller = 3.0, , Kp = 0.3750, TauD = 0.0025, TauI = 0.2500, nombre del fichero = outputFolder/data2/data/exp_6.28_3.0_0.375_0.0025_0.25.txt
