Los experimentos presentes y sus nombres son
FinalRad = 6.2800, Controller = 0, , Kp = 1.5000, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_0_1.5_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 0.7500, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_0_0.75_0.0_0.0.txt
FinalRad = 6.2800, Controller = 0, , Kp = 0.3750, TauD = 0.0000, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_0_0.375_0.0_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 1.5000, TauD = 0.0100, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_1.5_0.01_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 0.7500, TauD = 0.0100, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_0.75_0.01_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 0.3750, TauD = 0.0100, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_0.375_0.01_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 1.5000, TauD = 0.0050, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_1.5_0.005_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 0.7500, TauD = 0.0050, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_0.75_0.005_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 0.3750, TauD = 0.0050, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_0.375_0.005_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 1.5000, TauD = 0.0025, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_1.5_0.0025_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 0.7500, TauD = 0.0025, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_0.75_0.0025_0.0.txt
FinalRad = 6.2800, Controller = 1, , Kp = 0.3750, TauD = 0.0025, TauI = 0.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_1_0.375_0.0025_0.0.txt
FinalRad = 6.2800, Controller = 2, , Kp = 1.5000, TauD = 0.0000, TauI = 1.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_2_1.5_0.0_1.0.txt
FinalRad = 6.2800, Controller = 2, , Kp = 0.7500, TauD = 0.0000, TauI = 1.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_2_0.75_0.0_1.0.txt
FinalRad = 6.2800, Controller = 2, , Kp = 0.3750, TauD = 0.0000, TauI = 1.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_2_0.375_0.0_1.0.txt
FinalRad = 6.2800, Controller = 2, , Kp = 1.5000, TauD = 0.0000, TauI = 0.5000, nombre del fichero = outputFolder/data1/data/exp_6.28_2_1.5_0.0_0.5.txt
FinalRad = 6.2800, Controller = 2, , Kp = 0.7500, TauD = 0.0000, TauI = 0.5000, nombre del fichero = outputFolder/data1/data/exp_6.28_2_0.75_0.0_0.5.txt
FinalRad = 6.2800, Controller = 2, , Kp = 0.3750, TauD = 0.0000, TauI = 0.5000, nombre del fichero = outputFolder/data1/data/exp_6.28_2_0.375_0.0_0.5.txt
FinalRad = 6.2800, Controller = 2, , Kp = 1.5000, TauD = 0.0000, TauI = 0.2500, nombre del fichero = outputFolder/data1/data/exp_6.28_2_1.5_0.0_0.25.txt
FinalRad = 6.2800, Controller = 2, , Kp = 0.7500, TauD = 0.0000, TauI = 0.2500, nombre del fichero = outputFolder/data1/data/exp_6.28_2_0.75_0.0_0.25.txt
FinalRad = 6.2800, Controller = 2, , Kp = 0.3750, TauD = 0.0000, TauI = 0.2500, nombre del fichero = outputFolder/data1/data/exp_6.28_2_0.375_0.0_0.25.txt
FinalRad = 6.2800, Controller = 3, , Kp = 1.5000, TauD = 0.0100, TauI = 1.0000, nombre del fichero = outputFolder/data1/data/exp_6.28_3_1.5_0.01_1.0.txt
