TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
0,-1.0,0.0,3.0,0.75,0.01,1.0
1,-1.0,0.0,3.0,0.75,0.01,1.0
2,-1.0,0.0,3.0,0.75,0.01,1.0
3,-1.0,0.0,3.0,0.75,0.01,1.0
4,-1.0,0.0,3.0,0.75,0.01,1.0
5,-1.0,0.0,3.0,0.75,0.01,1.0
6,-1.0,0.0,3.0,0.75,0.01,1.0
7,-1.0,0.0,3.0,0.75,0.01,1.0
8,-1.0,0.0,3.0,0.75,0.01,1.0
9,-1.0,0.0,3.0,0.75,0.01,1.0
10,-1.0,353.6255,3.0,0.75,0.01,1.0
11,-1.0,353.6255,3.0,0.75,0.01,1.0
12,0.0,353.6255,3.0,0.75,0.01,1.0
13,0.0,353.6255,3.0,0.75,0.01,1.0
14,0.0,353.6255,3.0,0.75,0.01,1.0
15,1.0,353.6255,3.0,0.75,0.01,1.0
16,1.0,353.6255,3.0,0.75,0.01,1.0
17,2.0,353.6255,3.0,0.75,0.01,1.0
18,3.0,353.6255,3.0,0.75,0.01,1.0
19,4.0,353.6255,3.0,0.75,0.01,1.0
20,5.0,356.0809,3.0,0.75,0.01,1.0
21,6.0,356.0809,3.0,0.75,0.01,1.0
22,8.0,356.0809,3.0,0.75,0.01,1.0
23,9.0,356.0809,3.0,0.75,0.01,1.0
24,11.0,356.0809,3.0,0.75,0.01,1.0
25,13.0,356.0809,3.0,0.75,0.01,1.0
26,14.0,356.0809,3.0,0.75,0.01,1.0
27,17.0,356.0809,3.0,0.75,0.01,1.0
28,19.0,356.0809,3.0,0.75,0.01,1.0
29,21.0,356.0809,3.0,0.75,0.01,1.0
30,23.0,356.7642,3.0,0.75,0.01,1.0
31,25.0,356.7642,3.0,0.75,0.01,1.0
32,28.0,356.7642,3.0,0.75,0.01,1.0
33,30.0,356.7642,3.0,0.75,0.01,1.0
34,32.0,356.7642,3.0,0.75,0.01,1.0
35,35.0,356.7642,3.0,0.75,0.01,1.0
36,37.0,356.7642,3.0,0.75,0.01,1.0
37,40.0,356.7642,3.0,0.75,0.01,1.0
38,42.0,356.7642,3.0,0.75,0.01,1.0
39,45.0,356.7642,3.0,0.75,0.01,1.0
40,48.0,357.2345,3.0,0.75,0.01,1.0
41,51.0,357.2345,3.0,0.75,0.01,1.0
42,53.0,357.2345,3.0,0.75,0.01,1.0
43,56.0,357.2345,3.0,0.75,0.01,1.0
44,59.0,357.2345,3.0,0.75,0.01,1.0
45,62.0,357.2345,3.0,0.75,0.01,1.0
46,65.0,357.2345,3.0,0.75,0.01,1.0
47,68.0,357.2345,3.0,0.75,0.01,1.0
48,71.0,357.2345,3.0,0.75,0.01,1.0
49,74.0,357.2345,3.0,0.75,0.01,1.0
50,77.0,357.3866,3.0,0.75,0.01,1.0
51,80.0,357.3866,3.0,0.75,0.01,1.0
52,83.0,357.3866,3.0,0.75,0.01,1.0
53,87.0,357.3866,3.0,0.75,0.01,1.0
54,90.0,357.3866,3.0,0.75,0.01,1.0
55,93.0,357.3866,3.0,0.75,0.01,1.0
56,97.0,357.3866,3.0,0.75,0.01,1.0
57,100.0,357.3866,3.0,0.75,0.01,1.0
58,103.0,357.3866,3.0,0.75,0.01,1.0
59,107.0,357.3866,3.0,0.75,0.01,1.0
60,110.0,357.2158,3.0,0.75,0.01,1.0
61,113.0,357.2158,3.0,0.75,0.01,1.0
62,117.0,357.2158,3.0,0.75,0.01,1.0
63,120.0,357.2158,3.0,0.75,0.01,1.0
64,124.0,357.2158,3.0,0.75,0.01,1.0
65,127.0,357.2158,3.0,0.75,0.01,1.0
66,131.0,357.2158,3.0,0.75,0.01,1.0
67,134.0,357.2158,3.0,0.75,0.01,1.0
68,138.0,357.2158,3.0,0.75,0.01,1.0
69,142.0,357.2158,3.0,0.75,0.01,1.0
70,145.0,357.0126,3.0,0.75,0.01,1.0
71,149.0,357.0126,3.0,0.75,0.01,1.0
72,152.0,357.0126,3.0,0.75,0.01,1.0
73,156.0,357.0126,3.0,0.75,0.01,1.0
74,160.0,357.0126,3.0,0.75,0.01,1.0
75,163.0,357.0126,3.0,0.75,0.01,1.0
76,167.0,357.0126,3.0,0.75,0.01,1.0
77,171.0,357.0126,3.0,0.75,0.01,1.0
78,175.0,357.0126,3.0,0.75,0.01,1.0
79,178.0,357.0126,3.0,0.75,0.01,1.0
80,182.0,356.5786,3.0,0.75,0.01,1.0
81,187.0,356.5786,3.0,0.75,0.01,1.0
82,191.0,356.5786,3.0,0.75,0.01,1.0
83,195.0,356.5786,3.0,0.75,0.01,1.0
84,198.0,356.5786,3.0,0.75,0.01,1.0
85,202.0,356.5786,3.0,0.75,0.01,1.0
86,206.0,356.5786,3.0,0.75,0.01,1.0
87,210.0,356.5786,3.0,0.75,0.01,1.0
88,213.0,356.5786,3.0,0.75,0.01,1.0
89,217.0,356.5786,3.0,0.75,0.01,1.0
90,221.0,355.912,3.0,0.75,0.01,1.0
91,225.0,355.912,3.0,0.75,0.01,1.0
92,229.0,355.912,3.0,0.75,0.01,1.0
93,233.0,355.912,3.0,0.75,0.01,1.0
94,237.0,355.912,3.0,0.75,0.01,1.0
95,241.0,355.912,3.0,0.75,0.01,1.0
96,245.0,355.912,3.0,0.75,0.01,1.0
97,248.0,355.912,3.0,0.75,0.01,1.0
98,252.0,355.912,3.0,0.75,0.01,1.0
99,256.0,355.912,3.0,0.75,0.01,1.0
100,260.0,355.4035,3.0,0.75,0.01,1.0
101,264.0,355.4035,3.0,0.75,0.01,1.0
102,268.0,355.4035,3.0,0.75,0.01,1.0
103,272.0,355.4035,3.0,0.75,0.01,1.0
104,276.0,355.4035,3.0,0.75,0.01,1.0
105,280.0,355.4035,3.0,0.75,0.01,1.0
106,284.0,355.4035,3.0,0.75,0.01,1.0
107,288.0,355.4035,3.0,0.75,0.01,1.0
108,292.0,355.4035,3.0,0.75,0.01,1.0
109,296.0,355.4035,3.0,0.75,0.01,1.0
110,301.0,354.8566,3.0,0.75,0.01,1.0
111,305.0,354.8566,3.0,0.75,0.01,1.0
112,309.0,354.8566,3.0,0.75,0.01,1.0
113,313.0,354.8566,3.0,0.75,0.01,1.0
114,317.0,354.8566,3.0,0.75,0.01,1.0
115,321.0,354.8566,3.0,0.75,0.01,1.0
116,325.0,354.8566,3.0,0.75,0.01,1.0
117,329.0,354.8566,3.0,0.75,0.01,1.0
118,333.0,354.8566,3.0,0.75,0.01,1.0
119,337.0,354.8566,3.0,0.75,0.01,1.0
120,341.0,353.8788,3.0,0.75,0.01,1.0
121,345.0,353.8788,3.0,0.75,0.01,1.0
122,350.0,353.8788,3.0,0.75,0.01,1.0
123,354.0,353.8788,3.0,0.75,0.01,1.0
124,358.0,353.8788,3.0,0.75,0.01,1.0
125,362.0,353.8788,3.0,0.75,0.01,1.0
126,366.0,353.8788,3.0,0.75,0.01,1.0
127,370.0,353.8788,3.0,0.75,0.01,1.0
128,374.0,353.8788,3.0,0.75,0.01,1.0
129,378.0,353.8788,3.0,0.75,0.01,1.0
130,383.0,352.8607,3.0,0.75,0.01,1.0
131,387.0,352.8607,3.0,0.75,0.01,1.0
132,392.0,352.8607,3.0,0.75,0.01,1.0
133,396.0,352.8607,3.0,0.75,0.01,1.0
134,400.0,352.8607,3.0,0.75,0.01,1.0
135,404.0,352.8607,3.0,0.75,0.01,1.0
136,409.0,352.8607,3.0,0.75,0.01,1.0
137,413.0,352.8607,3.0,0.75,0.01,1.0
138,417.0,352.8607,3.0,0.75,0.01,1.0
139,421.0,352.8607,3.0,0.75,0.01,1.0
140,425.0,351.8996,3.0,0.75,0.01,1.0
141,429.0,351.8996,3.0,0.75,0.01,1.0
142,434.0,351.8996,3.0,0.75,0.01,1.0
143,438.0,351.8996,3.0,0.75,0.01,1.0
144,442.0,351.8996,3.0,0.75,0.01,1.0
145,446.0,351.8996,3.0,0.75,0.01,1.0
146,450.0,351.8996,3.0,0.75,0.01,1.0
147,454.0,351.8996,3.0,0.75,0.01,1.0
148,458.0,351.8996,3.0,0.75,0.01,1.0
149,462.0,351.8996,3.0,0.75,0.01,1.0
150,466.0,350.8972,3.0,0.75,0.01,1.0
151,471.0,350.8972,3.0,0.75,0.01,1.0
152,475.0,350.8972,3.0,0.75,0.01,1.0
153,482.0,350.8972,3.0,0.75,0.01,1.0
154,486.0,350.8972,3.0,0.75,0.01,1.0
155,490.0,350.8972,3.0,0.75,0.01,1.0
156,494.0,350.8972,3.0,0.75,0.01,1.0
157,498.0,350.8972,3.0,0.75,0.01,1.0
158,502.0,350.8972,3.0,0.75,0.01,1.0
159,506.0,350.8972,3.0,0.75,0.01,1.0
160,510.0,349.4609,3.0,0.75,0.01,1.0
161,514.0,349.4609,3.0,0.75,0.01,1.0
162,518.0,349.4609,3.0,0.75,0.01,1.0
163,523.0,349.4609,3.0,0.75,0.01,1.0
164,527.0,349.4609,3.0,0.75,0.01,1.0
165,531.0,349.4609,3.0,0.75,0.01,1.0
166,535.0,349.4609,3.0,0.75,0.01,1.0
167,539.0,349.4609,3.0,0.75,0.01,1.0
168,543.0,349.4609,3.0,0.75,0.01,1.0
169,548.0,349.4609,3.0,0.75,0.01,1.0
170,552.0,348.5705,3.0,0.75,0.01,1.0
171,556.0,348.5705,3.0,0.75,0.01,1.0
172,560.0,348.5705,3.0,0.75,0.01,1.0
173,565.0,348.5705,3.0,0.75,0.01,1.0
174,569.0,348.5705,3.0,0.75,0.01,1.0
175,573.0,348.5705,3.0,0.75,0.01,1.0
176,577.0,348.5705,3.0,0.75,0.01,1.0
177,582.0,348.5705,3.0,0.75,0.01,1.0
178,586.0,348.5705,3.0,0.75,0.01,1.0
179,590.0,348.5705,3.0,0.75,0.01,1.0
180,594.0,347.4425,3.0,0.75,0.01,1.0
181,599.0,347.4425,3.0,0.75,0.01,1.0
182,603.0,347.4425,3.0,0.75,0.01,1.0
183,608.0,347.4425,3.0,0.75,0.01,1.0
184,612.0,347.4425,3.0,0.75,0.01,1.0
185,616.0,347.4425,3.0,0.75,0.01,1.0
186,620.0,347.4425,3.0,0.75,0.01,1.0
187,624.0,347.4425,3.0,0.75,0.01,1.0
188,628.0,347.4425,3.0,0.75,0.01,1.0
189,633.0,347.4425,3.0,0.75,0.01,1.0
190,637.0,346.0769,3.0,0.75,0.01,1.0
191,641.0,346.0769,3.0,0.75,0.01,1.0
192,646.0,346.0769,3.0,0.75,0.01,1.0
193,651.0,346.0769,3.0,0.75,0.01,1.0
194,655.0,346.0769,3.0,0.75,0.01,1.0
195,659.0,346.0769,3.0,0.75,0.01,1.0
196,663.0,346.0769,3.0,0.75,0.01,1.0
197,667.0,346.0769,3.0,0.75,0.01,1.0
198,671.0,346.0769,3.0,0.75,0.01,1.0
199,675.0,346.0769,3.0,0.75,0.01,1.0
200,679.0,345.1599,3.0,0.75,0.01,1.0
201,683.0,345.1599,3.0,0.75,0.01,1.0
202,688.0,345.1599,3.0,0.75,0.01,1.0
203,692.0,345.1599,3.0,0.75,0.01,1.0
204,696.0,345.1599,3.0,0.75,0.01,1.0
205,700.0,345.1599,3.0,0.75,0.01,1.0
206,704.0,345.1599,3.0,0.75,0.01,1.0
207,708.0,345.1599,3.0,0.75,0.01,1.0
208,712.0,345.1599,3.0,0.75,0.01,1.0
209,716.0,345.1599,3.0,0.75,0.01,1.0
210,720.0,344.0064,3.0,0.75,0.01,1.0
211,724.0,344.0064,3.0,0.75,0.01,1.0
212,730.0,344.0064,3.0,0.75,0.01,1.0
213,734.0,344.0064,3.0,0.75,0.01,1.0
214,738.0,344.0064,3.0,0.75,0.01,1.0
215,742.0,344.0064,3.0,0.75,0.01,1.0
216,746.0,344.0064,3.0,0.75,0.01,1.0
217,750.0,344.0064,3.0,0.75,0.01,1.0
218,754.0,344.0064,3.0,0.75,0.01,1.0
219,758.0,344.0064,3.0,0.75,0.01,1.0
220,762.0,342.6162,3.0,0.75,0.01,1.0
221,766.0,342.6162,3.0,0.75,0.01,1.0
222,770.0,342.6162,3.0,0.75,0.01,1.0
223,775.0,342.6162,3.0,0.75,0.01,1.0
224,779.0,342.6162,3.0,0.75,0.01,1.0
225,783.0,342.6162,3.0,0.75,0.01,1.0
