TIME,PULSES,CONTROLLERVOLTAGE,CONTROLLER,KP,TAUD,TAUI 
0,0.0,-0.6714,3.0,0.75,0.005,1.0
1,0.0,-0.6714,3.0,0.75,0.005,1.0
2,-1.0,-0.6714,3.0,0.75,0.005,1.0
3,-1.0,-0.6714,3.0,0.75,0.005,1.0
4,-1.0,-0.6714,3.0,0.75,0.005,1.0
5,-1.0,-0.6714,3.0,0.75,0.005,1.0
6,-1.0,-0.6714,3.0,0.75,0.005,1.0
7,-1.0,-0.6714,3.0,0.75,0.005,1.0
8,-1.0,-0.6714,3.0,0.75,0.005,1.0
9,-1.0,-0.6714,3.0,0.75,0.005,1.0
10,-2.0,531.8127,3.0,0.75,0.005,1.0
11,-2.0,531.8127,3.0,0.75,0.005,1.0
12,-2.0,531.8127,3.0,0.75,0.005,1.0
13,-1.0,531.8127,3.0,0.75,0.005,1.0
14,-1.0,531.8127,3.0,0.75,0.005,1.0
15,0.0,531.8127,3.0,0.75,0.005,1.0
16,0.0,531.8127,3.0,0.75,0.005,1.0
17,1.0,531.8127,3.0,0.75,0.005,1.0
18,2.0,531.8127,3.0,0.75,0.005,1.0
19,3.0,531.8127,3.0,0.75,0.005,1.0
20,4.0,356.4736,3.0,0.75,0.005,1.0
21,5.0,356.4736,3.0,0.75,0.005,1.0
22,7.0,356.4736,3.0,0.75,0.005,1.0
23,8.0,356.4736,3.0,0.75,0.005,1.0
24,10.0,356.4736,3.0,0.75,0.005,1.0
25,12.0,356.4736,3.0,0.75,0.005,1.0
26,13.0,356.4736,3.0,0.75,0.005,1.0
27,15.0,356.4736,3.0,0.75,0.005,1.0
28,17.0,356.4736,3.0,0.75,0.005,1.0
29,19.0,356.4736,3.0,0.75,0.005,1.0
30,21.0,357.8451,3.0,0.75,0.005,1.0
31,23.0,357.8451,3.0,0.75,0.005,1.0
32,26.0,357.8451,3.0,0.75,0.005,1.0
33,28.0,357.8451,3.0,0.75,0.005,1.0
34,30.0,357.8451,3.0,0.75,0.005,1.0
35,33.0,357.8451,3.0,0.75,0.005,1.0
